title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
Star Wars Episode III: Revenge of the Sith    ,DS,0.31m,0.25m,0.03m,N/A,0.02m
Silent Hill: Shattered Memories    ,PSP,0.31m,0.09m,0.13m,0.01m,0.07m
Bruce Lee: Quest of the Dragon    ,XB,0.31m,0.23m,0.07m,N/A,0.01m
Spin Jam    ,PS,0.31m,0.17m,0.12m,N/A,0.02m
KuruKuru Kururin    ,GBA,0.31m,N/A,N/A,0.30m,0.01m
Disney's The Emperor's New Groove    ,PS,0.31m,0.17m,0.12m,N/A,0.02m
NBA Live 08    ,PSP,0.31m,0.28m,0.00m,0.00m,0.02m
Disney's Stitch: Experiment 626    ,PS2,0.31m,0.15m,0.12m,N/A,0.04m
RPG Tsukuru 2    ,SNES,0.31m,N/A,N/A,0.31m,0.00m
Yuu Yuu Hakusho 2: Kakutou no Sho    ,SNES,0.31m,N/A,N/A,0.31m,N/A
Orphen: Scion of Sorcery    ,PS2,0.31m,0.15m,0.12m,N/A,0.04m
NASCAR 2011: The Game    ,X360,0.31m,0.29m,N/A,N/A,0.02m
Shrek: Forever After    ,DS,0.31m,0.18m,0.10m,N/A,0.03m
Ultimate Spider-Man    ,GBA,0.30m,0.22m,0.08m,N/A,0.01m
F1 2013    ,X360,0.30m,0.01m,0.28m,0.00m,0.02m
Midtown Madness 3    ,XB,0.30m,0.23m,0.07m,N/A,0.01m
Resident Evil: Revelations 2    ,PS3,0.30m,0.06m,0.05m,0.17m,0.02m
Contra 4    ,DS,0.30m,0.28m,N/A,0.01m,0.02m
Shrek Swamp Kart Speedway    ,GBA,0.30m,0.22m,0.08m,N/A,0.01m
The King of Fighters XIII    ,PS3,0.30m,0.17m,0.07m,0.04m,0.03m
Def Jam Rapstar    ,X360,0.30m,0.26m,0.03m,N/A,0.02m
Gameboy Gallery    ,GB,0.30m,N/A,N/A,0.30m,0.00m
Virtua Cop 2    ,SAT,0.30m,N/A,N/A,0.30m,N/A
Ehrgeiz    ,PS,0.30m,0.17m,0.12m,N/A,0.02m
Sword Art Online: Hollow Fragment    ,PSV,0.30m,N/A,N/A,0.30m,N/A
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable    ,PSP,0.30m,N/A,N/A,0.30m,N/A
Spyro: Attack of the Rhynocs    ,GBA,0.30m,0.22m,0.08m,N/A,0.01m
"Army Men World War: Land, Sea, Air    ",PS,0.30m,0.17m,0.12m,N/A,0.02m
2nd Super Robot Wars Original Generation    ,PS3,0.30m,N/A,N/A,0.30m,N/A
Madagascar    ,DS,0.30m,0.25m,0.03m,N/A,0.02m
Naruto: Ninja Destiny (US sales)    ,DS,0.30m,0.30m,N/A,N/A,N/A
Tom Clancy's Splinter Cell 3D    ,3DS,0.30m,0.14m,0.07m,0.07m,0.02m
Kingdoms of Amalur: Reckoning    ,PC,0.30m,0.14m,0.13m,N/A,0.03m
Battlefield: Hardline    ,X360,0.30m,0.18m,0.09m,N/A,0.03m
Jumping Flash!    ,PS,0.30m,0.05m,0.03m,0.21m,0.02m
Karaoke Revolution Party    ,PS2,0.30m,0.15m,0.12m,N/A,0.04m
The Evil Within    ,PC,0.30m,0.12m,0.16m,N/A,0.02m
Burnout    ,GC,0.30m,0.23m,0.06m,N/A,0.01m
Cities: Skylines    ,PS4,0.30m,0.15m,0.07m,0.04m,0.05m
Lizzie McGuire 3: Homecoming Havoc    ,GBA,0.30m,0.22m,0.08m,N/A,0.01m
Lumines ll    ,PSP,0.30m,0.12m,0.12m,N/A,0.07m
Chaos Legion    ,PS2,0.30m,0.15m,0.12m,N/A,0.04m
Puyo Puyo 7    ,DS,0.30m,N/A,N/A,0.30m,N/A
Charlie and the Chocolate Factory    ,GBA,0.30m,0.22m,0.08m,N/A,0.01m
Neopets: The Darkest Faerie    ,PS2,0.30m,0.15m,0.12m,N/A,0.04m
Blazing Heroes    ,SAT,0.30m,N/A,N/A,0.30m,0.00m
Rhythm Tengoku    ,GBA,0.30m,N/A,N/A,0.30m,0.01m
Monopoly for Nintendo Switch    ,NS,0.30m,0.06m,0.22m,0.01m,0.02m
NBA 2K19    ,NS,0.30m,0.24m,0.02m,0.01m,0.03m
Super Robot Taisen W    ,DS,0.30m,N/A,N/A,0.30m,N/A
Cart World Series    ,PS,0.30m,0.17m,0.11m,N/A,0.02m
Sing Party    ,WiiU,0.30m,0.15m,0.13m,N/A,0.03m
24: The Game    ,PS2,0.30m,0.15m,0.12m,N/A,0.04m
The Dukes of Hazzard II: Daisy Dukes It Out    ,PS,0.30m,0.17m,0.11m,N/A,0.02m
Pro Evolution Soccer 2013    ,X360,0.30m,0.08m,0.20m,N/A,0.03m
Famista '91    ,NES,0.30m,N/A,N/A,0.30m,0.00m
Tom Clancy's Rainbow Six: Siege    ,PC,0.30m,0.18m,0.09m,N/A,0.03m
LEGO Marvel's Avengers    ,3DS,0.30m,0.08m,0.17m,0.03m,0.02m
Super Robot Taisen OG: Original Generations Gaiden    ,PS2,0.30m,N/A,N/A,0.30m,N/A
PowerUp Heroes    ,X360,0.30m,0.18m,0.09m,N/A,0.03m
Decathlete    ,SAT,0.30m,N/A,N/A,0.30m,0.00m
My Hero One's Justice    ,PS4,0.30m,0.16m,0.05m,0.04m,0.05m
Looney Tunes: Duck Amuck    ,DS,0.30m,0.28m,0.00m,N/A,0.02m
Resident Evil Archives: Resident Evil    ,Wii,0.30m,0.16m,0.04m,0.08m,0.02m
Magna Carta 2    ,X360,0.30m,0.13m,0.07m,0.07m,0.02m
LEGO City Undercover    ,XOne,0.30m,0.15m,0.12m,N/A,0.03m
Jonas    ,DS,0.30m,0.27m,0.00m,N/A,0.02m
Romance of the Three Kingdoms VIII    ,PS2,0.30m,0.05m,0.04m,0.19m,0.01m
Stranglehold    ,PS3,0.30m,0.24m,0.03m,0.00m,0.03m
Fossil Fighters (JP sales)    ,DS,0.30m,N/A,N/A,0.30m,N/A
Daikaijyuu Monogatari    ,SNES,0.30m,N/A,N/A,0.30m,N/A
Hard Hitter Tennis    ,PS2,0.30m,0.15m,0.11m,N/A,0.04m
Sorcery    ,PS3,0.30m,0.14m,0.11m,N/A,0.05m
Monster Truck Madness 64    ,N64,0.30m,0.24m,0.06m,N/A,0.00m
Quake II    ,N64,0.30m,0.24m,0.06m,N/A,0.00m
SoulCalibur VI    ,XOne,0.30m,0.26m,0.01m,N/A,0.03m
Crazy Taxi: Catch a Ride    ,GBA,0.30m,0.21m,0.08m,N/A,0.01m
Imagine: Family Doctor    ,DS,0.30m,0.27m,0.01m,N/A,0.02m
Nounai Aeshe: IQ Suppli DS    ,DS,0.30m,N/A,N/A,0.30m,N/A
One Piece Unlimited Cruise SP    ,3DS,0.30m,N/A,0.00m,0.30m,0.00m
Macross Digital Mission VF-X    ,PS,0.30m,N/A,N/A,0.28m,0.02m
Rayman 2: Revolution    ,PS2,0.30m,0.15m,0.11m,N/A,0.04m
Yu Yu Hakusho Ghost Files: Spirit Detective    ,GBA,0.30m,0.21m,0.08m,N/A,0.01m
Super Bomberman 5    ,SNES,0.30m,N/A,N/A,0.30m,0.00m
Army Men: Air Attack 2    ,PS,0.30m,0.17m,0.11m,N/A,0.02m
Saint Seiya: Soldiers' Soul    ,PS4,0.30m,N/A,0.21m,0.05m,0.04m
Invizimals: Shadow Zone    ,PSP,0.30m,0.05m,0.16m,N/A,0.08m
NBA Live 2003    ,GC,0.30m,0.23m,0.06m,N/A,0.01m
Pride FC: Fighting Championships    ,PS2,0.30m,0.15m,0.11m,N/A,0.04m
Eternal Ring    ,PS2,0.30m,0.10m,0.07m,0.10m,0.03m
Dragon Force    ,SAT,0.30m,N/A,N/A,0.30m,0.00m
Dynasty Warriors 6    ,X360,0.30m,0.15m,0.06m,0.06m,0.02m
LEGO DC Super-Villains    ,XOne,0.30m,0.20m,0.07m,N/A,0.03m
WWE 2K17    ,X360,0.30m,0.14m,0.13m,N/A,0.03m
Dance Dance Revolution Universe 3    ,X360,0.30m,0.28m,N/A,N/A,0.02m
Final Fantasy Type-0 HD    ,XOne,0.30m,0.20m,0.07m,N/A,0.03m
Winning Post 2    ,SNES,0.30m,N/A,N/A,0.30m,N/A
Star Gladiator Episode: I Final Crusade    ,PS,0.30m,0.07m,0.05m,0.15m,0.02m
Call of Duty: Black Ops 3    ,PC,0.30m,N/A,0.28m,N/A,0.02m
The Smurfs: Dance Party    ,Wii,0.30m,0.23m,0.04m,N/A,0.03m
Just Dance 2018    ,PS4,0.30m,0.10m,0.15m,N/A,0.05m
Showdown: Legends of Wrestling    ,PS2,0.30m,0.15m,0.11m,N/A,0.04m
Squinkies    ,DS,0.30m,0.26m,0.02m,N/A,0.02m
Far East of Eden Zero    ,SNES,0.30m,N/A,N/A,0.30m,0.00m
Wacky Races: Crash & Dash    ,Wii,0.30m,0.27m,0.00m,N/A,0.02m
Rapala Pro Bass Fishing 2010    ,Wii,0.30m,0.22m,0.05m,N/A,0.03m
Full Spectrum Warrior    ,PS2,0.30m,0.15m,0.11m,N/A,0.04m
Starhawk    ,PS3,0.30m,0.18m,0.05m,0.03m,0.03m
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!    ,Wii,0.30m,N/A,N/A,0.30m,N/A
Fist of the North Star: Ken's Rage 2    ,PS3,0.30m,N/A,N/A,0.30m,N/A
Sonic & Sega All-Stars Racing Transformed     ,3DS,0.30m,0.12m,0.15m,N/A,0.02m
The Sims 2: Pets    ,PS2,0.30m,0.02m,0.01m,N/A,0.27m
FIFA 15    ,PC,0.30m,N/A,0.28m,N/A,0.02m
Angry Birds: Star Wars    ,PS3,0.30m,0.10m,0.15m,N/A,0.05m
Power Pro Kun Pocket 6    ,GBA,0.30m,N/A,N/A,0.29m,0.01m
Power Pro Kun Pocket 10    ,DS,0.30m,N/A,N/A,0.30m,N/A
The Suite Life of Zack & Cody: Circle of Spies    ,DS,0.30m,0.17m,0.09m,N/A,0.03m
Shaun White Snowboarding: World Stage    ,Wii,0.30m,0.24m,0.03m,N/A,0.02m
Finding Nemo: The Continuing Adventures    ,GBA,0.30m,0.21m,0.08m,N/A,0.01m
MySims Party    ,DS,0.30m,0.15m,0.12m,N/A,0.03m
Spirit: Stallion of the Cimarron    ,GBA,0.30m,0.21m,0.08m,N/A,0.01m
Shrek the Third    ,DS,0.30m,0.26m,0.02m,N/A,0.02m
Future Cop L.A.P.D.    ,PS,0.30m,0.16m,0.11m,N/A,0.02m
Hamster Tarou    ,GB,0.30m,N/A,N/A,0.30m,N/A
Capcom Classics Collection Remixed    ,PSP,0.30m,0.27m,0.00m,N/A,0.02m
Shark Tale    ,GC,0.30m,0.23m,0.06m,N/A,0.01m
Radiant Historia    ,DS,0.30m,0.19m,N/A,0.09m,0.02m
Guitar Hero: Van Halen    ,X360,0.30m,0.16m,0.10m,N/A,0.03m
MLB SlugFest Loaded    ,PS2,0.30m,0.14m,0.11m,N/A,0.04m
Batman: The Brave and the Bold the Videogame    ,DS,0.30m,0.23m,0.04m,N/A,0.02m
Dreamworks Madagascar Kartz    ,PS3,0.30m,0.19m,0.07m,N/A,0.04m
Teenage Mutant Ninja Turtles    ,XB,0.30m,0.22m,0.06m,N/A,0.01m
Phineas and Ferb Ride Again    ,DS,0.30m,0.24m,0.03m,N/A,0.02m
Sniper Elite 4    ,XOne,0.30m,0.18m,0.09m,N/A,0.03m
FIFA 13    ,3DS,0.30m,0.06m,0.21m,N/A,0.02m
I Spy: Spooky Mansion    ,Wii,0.30m,0.27m,N/A,N/A,0.02m
N3: Ninety-Nine Nights    ,X360,0.30m,0.20m,0.03m,0.05m,0.02m
Syphon Filter: Dark Mirror    ,PSP,0.30m,0.26m,0.01m,N/A,0.03m
AMF Bowling 2004    ,XB,0.30m,0.22m,0.06m,N/A,0.01m
Harry Potter and the Order of the Phoenix    ,X360,0.30m,0.24m,0.03m,N/A,0.02m
Scooby-Doo! Night of 100 Frights    ,GC,0.30m,0.23m,0.06m,N/A,0.01m
MySims SkyHeroes    ,Wii,0.30m,0.16m,0.10m,N/A,0.03m
The Walking Dead: Season Two    ,PS4,0.30m,0.13m,0.09m,0.03m,0.05m
Imagine: Makeup Artist    ,DS,0.29m,0.27m,N/A,N/A,0.02m
Sword Art Online: Fatal Bullet    ,PS4,0.29m,0.11m,0.03m,0.13m,0.03m
Spider-Man: Friend or Foe    ,X360,0.29m,0.26m,0.01m,N/A,0.02m
RealSports Boxing    ,2600,0.29m,0.28m,0.02m,N/A,0.00m
Grandia II     ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Lego Star Wars: The Force Awakens    ,WiiU,0.29m,0.12m,0.13m,0.02m,0.02m
Front Mission Evolved    ,PS3,0.29m,0.09m,0.07m,0.11m,0.03m
Fable: The Journey    ,X360,0.29m,0.19m,0.08m,N/A,0.03m
Need for Speed Underground    ,GBA,0.29m,0.21m,0.08m,N/A,0.01m
Power Pro Kun Pocket 4    ,GBA,0.29m,N/A,N/A,0.29m,0.01m
Naruto to Boruto: Shinobi Striker    ,PS4,0.29m,0.19m,0.03m,0.02m,0.05m
Rabbids: Alive & Kicking    ,X360,0.29m,0.15m,0.11m,N/A,0.03m
Guardian Heroes    ,SAT,0.29m,N/A,N/A,0.29m,N/A
WWII Aces    ,Wii,0.29m,0.27m,N/A,N/A,0.02m
Glory of Heracles    ,DS,0.29m,0.19m,N/A,0.08m,0.02m
Outlaw Golf    ,XB,0.29m,0.22m,0.06m,N/A,0.01m
Mini Ninjas    ,X360,0.29m,0.12m,0.14m,N/A,0.03m
ExerBeat    ,Wii,0.29m,0.10m,0.16m,N/A,0.03m
Gears of War Triple Pack    ,X360,0.29m,0.27m,N/A,N/A,0.02m
Little King's Story    ,Wii,0.29m,0.14m,0.11m,0.02m,0.02m
Fisherman's Bait 2: Big Ol' Bass    ,PS,0.29m,0.16m,0.11m,N/A,0.02m
Lupin the 3rd: Treasure of the Sorcerer King    ,PS2,0.29m,0.02m,0.02m,0.25m,0.01m
Yooka-Laylee    ,PS4,0.29m,0.09m,0.16m,N/A,0.05m
Call of Juarez: The Cartel    ,PS3,0.29m,0.12m,0.12m,N/A,0.05m
NES Remix    ,WiiU,0.29m,0.18m,N/A,0.09m,0.02m
Black Panther: Yakuza New Chapter    ,PSP,0.29m,N/A,N/A,0.29m,N/A
Ben 10 Alien Force: Vilgax Attacks    ,PS2,0.29m,0.11m,0.03m,N/A,0.15m
Nicktoons: Battle for Volcano Island    ,DS,0.29m,0.27m,0.00m,N/A,0.02m
NBA Street V3    ,GC,0.29m,0.23m,0.06m,N/A,0.01m
WinBack: Covert Operations    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Assassin's Creed IV: Black Flag    ,WiiU,0.29m,0.17m,0.10m,N/A,0.03m
Shrek: Forever After    ,Wii,0.29m,0.18m,0.09m,N/A,0.03m
X-Men Legends II: Rise of Apocalypse    ,PSP,0.29m,0.25m,0.01m,N/A,0.02m
Dynasty Warriors: Strikeforce    ,PS3,0.29m,0.11m,0.08m,0.07m,0.03m
Kagero: Deception II    ,PS,0.29m,0.03m,0.02m,0.22m,0.02m
Up    ,X360,0.29m,0.20m,0.07m,N/A,0.03m
Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban    ,PS,0.29m,N/A,N/A,0.27m,0.02m
Harvest Moon: Magical Melody    ,Wii,0.29m,0.23m,0.04m,N/A,0.02m
Alvin and the Chipmunks: The Squeakquel    ,DS,0.29m,0.27m,0.00m,N/A,0.02m
NBA Live 06    ,X360,0.29m,0.27m,0.00m,N/A,0.02m
Kenka Bancho: Badass Rumble    ,PSP,0.29m,0.07m,N/A,0.20m,0.01m
FlatOut: Head On    ,PSP,0.29m,0.13m,0.11m,N/A,0.06m
J-League Victory Goal '96    ,SAT,0.29m,N/A,N/A,0.29m,0.00m
Zoo Tycoon 2 DS    ,DS,0.29m,0.24m,0.03m,N/A,0.02m
TouchMaster: Connect    ,DS,0.29m,0.10m,0.16m,N/A,0.03m
Jeopardy! 2nd Edition    ,PS,0.29m,0.16m,0.11m,N/A,0.02m
SD Gundam G Century    ,PS,0.29m,N/A,N/A,0.27m,0.02m
Wanted: Weapons of Fate    ,PS3,0.29m,0.14m,0.10m,0.01m,0.04m
Ratchet & Clank: Size Matters    ,PS2,0.29m,0.13m,0.10m,0.03m,0.03m
Just Dance 2017    ,NS,0.29m,0.07m,0.20m,N/A,0.02m
NieR    ,X360,0.29m,0.13m,0.10m,0.04m,0.02m
Ace Combat: Joint Assault    ,PSP,0.29m,0.06m,0.05m,0.15m,0.03m
Atelier Iris 3: Grand Phantasm (US Sales)    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Itadaki Street 2: Neon Sign wa Bara Iro ni    ,SNES,0.29m,N/A,N/A,0.29m,0.00m
Imagine: Fashion Designer World Tour    ,DS,0.29m,0.27m,N/A,N/A,0.02m
From TV Animation One Piece: Treasure Battle!    ,GC,0.29m,N/A,N/A,0.28m,0.01m
NHL 19    ,XOne,0.29m,0.26m,N/A,N/A,0.03m
Dolphin    ,2600,0.29m,0.27m,0.02m,N/A,0.00m
Area 51    ,XB,0.29m,0.22m,0.06m,N/A,0.01m
Karaoke Revolution Glee: Volume 3    ,Wii,0.29m,0.23m,0.04m,N/A,0.02m
Just Dance Wii 2    ,Wii,0.29m,N/A,N/A,0.29m,N/A
The Godfather: Dons Edition    ,PS3,0.29m,0.25m,0.02m,N/A,0.03m
Prince of Persia: Rival Swords    ,Wii,0.29m,0.24m,0.03m,N/A,0.02m
Hamster Club 4: Shigessa Daidassou    ,GBA,0.29m,N/A,N/A,0.28m,0.01m
The Chronicles of Riddick: Assault on Dark Athena    ,X360,0.29m,0.16m,0.10m,N/A,0.03m
John Deere: Harvest in the Heartland    ,DS,0.29m,0.23m,0.04m,N/A,0.02m
Mega Man X8    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Ford Mustang: The Legend Lives    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Phoenix Wright: Ace Attorney: Spirit of Justice    ,3DS,0.29m,N/A,N/A,0.29m,N/A
Fast Food    ,2600,0.29m,0.27m,0.02m,N/A,0.00m
Trace Memory    ,DS,0.29m,0.15m,0.01m,0.12m,0.01m
Sesame Street: Cookie's Counting Carnival    ,Wii,0.29m,0.27m,N/A,N/A,0.02m
Jikkyou Powerful Pro Yakyuu 8    ,PS2,0.29m,N/A,N/A,0.29m,N/A
Forsaken 64    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
Jeremy McGrath Supercross 2000    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
Ken Griffey Jr.'s Slugfest    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
Supercross 2000    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
The New Tetris    ,N64,0.29m,0.22m,0.05m,0.02m,0.00m
Top Gear Overdrive    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
War Gods    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
Xena: Warrior Princess - The Talisman of Fate    ,N64,0.29m,0.23m,0.06m,N/A,0.00m
Duel Masters: Sempai Legends    ,GBA,0.29m,0.21m,0.08m,N/A,0.01m
Trauma Center: New Blood    ,Wii,0.29m,0.22m,0.04m,0.01m,0.02m
Marvel Super Hero Squad    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Heroes of the Pacific    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
The BIGS 2    ,Wii,0.29m,0.26m,0.01m,N/A,0.02m
The Lord of the Rings: The Third Age    ,GC,0.29m,0.22m,0.06m,N/A,0.01m
Nicktoons: Battle for Volcano Island    ,GC,0.29m,0.22m,0.06m,N/A,0.01m
Sonic Boom: Shattered Crystal    ,3DS,0.29m,0.17m,0.09m,N/A,0.03m
LEGO Harry Potter: Years 5-7    ,PSP,0.29m,0.11m,0.12m,N/A,0.06m
Mah Jong Quest: Expeditions    ,DS,0.29m,0.02m,0.26m,N/A,0.01m
Madden NFL 08    ,XB,0.29m,0.22m,0.06m,N/A,0.01m
Overcooked! 2    ,NS,0.29m,0.17m,0.09m,0.01m,0.03m
DX Game of Life    ,PS,0.29m,N/A,N/A,0.27m,0.02m
Alien: Isolation    ,X360,0.29m,0.16m,0.11m,N/A,0.03m
Pirates of the Caribbean    ,XB,0.29m,0.22m,0.06m,N/A,0.01m
RPG Maker    ,PS,0.29m,N/A,N/A,0.29m,N/A
Mass Effect Trilogy    ,PC,0.29m,0.09m,0.17m,N/A,0.02m
The Punisher    ,XB,0.29m,0.22m,0.06m,N/A,0.01m
The Legend of Legacy    ,3DS,0.29m,0.14m,0.02m,0.11m,0.02m
Turning Point: Fall of Liberty    ,X360,0.29m,0.23m,0.04m,N/A,0.02m
1701 A.D.     ,PC,0.29m,N/A,0.25m,N/A,0.03m
Majin and the Forsaken Kingdom    ,PS3,0.29m,0.09m,0.14m,0.01m,0.05m
MLB Pennant Race    ,PS,0.29m,0.16m,0.11m,N/A,0.02m
Disgaea 3: Absence of Detention    ,PSV,0.29m,0.11m,0.06m,0.07m,0.04m
Cars 3: Driven to Win    ,PS4,0.29m,0.06m,0.18m,0.01m,0.04m
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan    ,SNES,0.29m,N/A,N/A,0.29m,0.00m
The Sims 2    ,PC,0.29m,0.02m,0.24m,N/A,0.03m
MLB Power Pros    ,Wii,0.29m,0.23m,N/A,0.04m,0.02m
Shrek Super Party    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
"Sakura Wars 4: Koi Seyo,Otome    ",DC,0.29m,N/A,N/A,0.29m,N/A
"Sakura Wars: So Long, My Love    ",PS2,0.29m,0.07m,0.05m,0.15m,0.02m
Dynasty Tactics    ,PS2,0.29m,0.06m,0.05m,0.16m,0.02m
One Piece Unlimited Cruise 2: Awakening of a Hero    ,Wii,0.29m,N/A,0.10m,0.17m,0.01m
Skylanders Imaginators    ,X360,0.29m,0.14m,0.12m,N/A,0.02m
Sengoku Basara: Samurai Heroes    ,Wii,0.29m,0.06m,0.02m,0.20m,0.01m
Snowboarding     ,PS,0.29m,0.16m,0.11m,N/A,0.02m
Warriors Orochi 2     ,PSP,0.29m,0.06m,0.00m,0.22m,0.01m
Puzzle Quest: Challenge of the Warlords    ,Wii,0.29m,0.26m,0.00m,N/A,0.02m
Metal Gear Solid V: The Definitive Experience    ,PS4,0.29m,0.13m,0.08m,0.03m,0.04m
Army of Two: The Devil's Cartel    ,PS3,0.29m,0.11m,0.12m,0.01m,0.05m
Learn with Pokémon: Typing Adventure    ,DS,0.29m,N/A,N/A,0.29m,N/A
Dragon Ball Heroes: Ultimate Mission    ,3DS,0.29m,N/A,N/A,0.29m,N/A
007 Legends    ,X360,0.29m,0.13m,0.13m,N/A,0.02m
Dead Rising: Chop Till You Drop    ,Wii,0.29m,0.15m,0.07m,0.05m,0.02m
Surf's Up    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Looney Tunes Racing    ,PS,0.29m,0.16m,0.11m,N/A,0.02m
Feel the Magic XY/XX    ,DS,0.29m,0.17m,0.00m,0.10m,0.02m
Final Fantasy X-2: International + Last Mission    ,PS2,0.29m,N/A,N/A,0.29m,N/A
One Piece Unlimited World: Red    ,PS3,0.29m,0.09m,0.10m,0.06m,0.04m
Ever Oasis    ,3DS,0.29m,0.13m,0.08m,0.05m,0.02m
Namco Museum Vol.2    ,PS,0.29m,0.03m,0.02m,0.21m,0.02m
Neopets Puzzle Adventure    ,DS,0.29m,0.26m,0.00m,N/A,0.02m
Rayman 3: Hoodlum Havoc    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles    ,DS,0.29m,N/A,N/A,0.29m,N/A
Psi-Ops: The Mindgate Conspiracy    ,PS2,0.29m,0.14m,0.11m,N/A,0.04m
Tomba! 2: The Evil Swine Return    ,PS,0.29m,0.16m,0.11m,N/A,0.02m
Dragon Quest: Shounen Yangus to Fushigi no Dungeon     ,PS2,0.29m,N/A,N/A,0.29m,N/A
BeatMania Append 4thMix: The beat goes on    ,PS,0.29m,N/A,N/A,0.27m,0.02m
Rock Revolution    ,X360,0.29m,0.26m,0.00m,N/A,0.02m
Romance of the Three Kingdoms III: Dragon of Destiny    ,SNES,0.29m,N/A,N/A,0.29m,N/A
NASCAR 08    ,X360,0.29m,0.26m,0.00m,N/A,0.02m
Just Cause 4    ,XOne,0.29m,0.17m,0.09m,N/A,0.03m
Dragon Ball Z: Budokai Tenkaichi 2    ,Wii,0.29m,0.24m,0.03m,N/A,0.02m
Purr Pals    ,Wii,0.29m,0.26m,N/A,N/A,0.02m
Sherlock Holmes: Crimes & Punishments    ,PS4,0.29m,0.10m,0.14m,N/A,0.05m
Power Pro Kun Pocket 11    ,DS,0.29m,N/A,N/A,0.29m,N/A
Sonic Forces    ,XOne,0.29m,0.15m,0.11m,N/A,0.03m
Culdcept    ,3DS,0.29m,0.04m,0.01m,0.23m,0.01m
Spyro: A Hero's Tail    ,GC,0.29m,0.22m,0.06m,N/A,0.01m
Sesame Street: Elmo's A-to-Zoo Adventure    ,DS,0.29m,0.26m,N/A,N/A,0.02m
Links 2004    ,XB,0.29m,0.21m,0.06m,N/A,0.01m
PGA Tour 97    ,PS,0.29m,0.16m,0.11m,N/A,0.02m
Tony Hawk: Shred    ,PS3,0.29m,0.18m,0.06m,N/A,0.04m
Earthworm Jim    ,GBA,0.29m,0.20m,0.08m,N/A,0.01m
Tales of Phantasia    ,GBA,0.29m,0.08m,0.03m,0.17m,0.01m
The Golden Compass    ,PS3,0.29m,0.14m,0.10m,N/A,0.05m
Bratz: Super Babyz    ,DS,0.28m,0.26m,0.00m,N/A,0.02m
Baby Pals    ,DS,0.28m,0.26m,0.01m,N/A,0.02m
Monster 4x4: Masters of Metal    ,PS2,0.28m,0.14m,0.11m,N/A,0.04m
SingStar Country    ,PS2,0.28m,0.14m,0.11m,N/A,0.04m
Jewel Quest Mysteries: Curse of the Emerald Tear    ,DS,0.28m,N/A,0.25m,N/A,0.04m
VMX Racing    ,PS,0.28m,0.16m,0.11m,N/A,0.02m
Hot Shots Golf: World Invitational    ,PS3,0.28m,N/A,N/A,0.28m,N/A
Disney's Extreme Skate Adventure    ,GBA,0.28m,0.20m,0.08m,N/A,0.01m
Harvest Moon DS Cute (US sales)    ,DS,0.28m,0.28m,N/A,N/A,N/A
Dragon Ball GT: Transformation    ,GBA,0.28m,0.20m,0.08m,N/A,0.01m
Super Fire ProWrestling X    ,SNES,0.28m,N/A,N/A,0.28m,N/A
Junior Brain Trainer 2    ,DS,0.28m,0.04m,0.21m,N/A,0.03m
International Superstar Soccer    ,SNES,0.28m,N/A,N/A,0.28m,0.00m
NBA 2K12    ,PSP,0.28m,0.22m,0.03m,N/A,0.03m
Tigger's Honey Hunt    ,PS,0.28m,0.16m,0.11m,N/A,0.02m
The Warriors    ,XB,0.28m,0.21m,0.06m,N/A,0.01m
Shadow Hearts    ,PS2,0.28m,0.09m,0.07m,0.10m,0.02m
Bladestorm: The Hundred Years' War    ,PS3,0.28m,0.10m,0.03m,0.14m,0.02m
Assassin's Creed II: Discovery    ,DS,0.28m,0.15m,0.11m,N/A,0.03m
Haven: Call of the King    ,PS2,0.28m,0.14m,0.11m,N/A,0.04m
Street Hoops    ,XB,0.28m,0.21m,0.06m,N/A,0.01m
Disney Channel: All Star Party    ,Wii,0.28m,0.18m,0.08m,N/A,0.03m
Dark Souls II: Scholar of the First Sin    ,XOne,0.28m,0.19m,0.07m,N/A,0.03m
Yu-Gi-Oh! Double Pack    ,GBA,0.28m,0.20m,0.08m,N/A,0.01m
