title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
Halo 4    ,X360,9.96m,6.72m,2.36m,0.04m,0.83m
Mario Kart 64    ,N64,9.87m,5.55m,1.94m,2.23m,0.15m
Minecraft    ,X360,9.82m,5.96m,2.94m,0.02m,0.90m
Final Fantasy VII    ,PS,9.72m,3.01m,2.47m,3.28m,0.96m
Gran Turismo 2    ,PS,9.49m,3.88m,3.42m,1.69m,0.50m
The Legend of Zelda: Breath of the Wild    ,NS,9.46m,4.54m,2.94m,1.26m,0.73m
Just Dance 2    ,Wii,9.45m,5.80m,2.86m,0.01m,0.77m
Call of Duty 4: Modern Warfare    ,X360,9.41m,5.98m,2.39m,0.13m,0.91m
Call of Duty: Black Ops IIII    ,PS4,9.32m,4.05m,3.28m,0.50m,1.49m
Donkey Kong Country    ,SNES,9.30m,4.36m,1.71m,3.00m,0.23m
FIFA 19    ,PS4,9.15m,0.84m,6.87m,0.10m,1.34m
Super Smash Bros. Ultimate    ,NS,8.95m,4.22m,1.72m,2.41m,0.61m
Mario Party DS    ,DS,8.93m,4.40m,1.86m,1.98m,0.69m
The Elder Scrolls V: Skyrim    ,X360,8.88m,5.10m,2.83m,0.10m,0.85m
Super Mario Kart    ,SNES,8.76m,3.54m,1.24m,3.81m,0.18m
Marvel's Spider-Man    ,PS4,8.76m,3.64m,3.39m,0.32m,1.41m
Grand Theft Auto V    ,XOne,8.72m,4.70m,3.25m,0.01m,0.76m
Halo 2    ,XB,8.49m,6.82m,1.53m,0.05m,0.08m
Call of Duty: Infinite Warfare    ,PS4,8.48m,3.11m,3.83m,0.19m,1.36m
Fallout 4    ,PS4,8.48m,2.91m,3.97m,0.27m,1.34m
Wii Party    ,Wii,8.41m,1.75m,3.51m,2.49m,0.66m
Super Smash Bros. for 3DS    ,3DS,8.32m,3.73m,1.50m,2.55m,0.54m
Mario Party 8    ,Wii,8.30m,3.74m,2.27m,1.58m,0.70m
FIFA 16    ,PS4,8.22m,1.15m,5.77m,0.07m,1.23m
Pokémon Black 2 and White 2    ,DS,8.16m,2.79m,1.79m,3.16m,0.43m
GoldenEye 007    ,N64,8.09m,5.80m,2.01m,0.13m,0.15m
Final Fantasy X    ,PS2,8.05m,2.91m,2.07m,2.73m,0.33m
Star Wars Battlefront (2015)    ,PS4,8.03m,3.31m,3.19m,0.23m,1.30m
FIFA 13    ,PS3,8.01m,1.07m,5.13m,0.13m,1.68m
Mario & Sonic at the Olympic Games    ,Wii,8.00m,2.57m,3.87m,0.66m,0.90m
The Sims 3    ,PC,7.96m,1.01m,6.46m,N/A,0.50m
Final Fantasy VIII    ,PS,7.86m,2.28m,1.72m,3.63m,0.23m
Pac-Man    ,2600,7.81m,7.28m,0.45m,N/A,0.08m
Pokémon Platinum Version    ,DS,7.72m,2.76m,1.73m,2.69m,0.54m
Grand Theft Auto: Liberty City Stories    ,PSP,7.72m,2.90m,2.83m,0.24m,1.74m
Mario Kart 8    ,WiiU,7.69m,3.22m,2.55m,1.39m,0.54m
The Legend of Zelda: Ocarina of Time    ,N64,7.60m,4.10m,1.89m,1.45m,0.16m
Crash Bandicoot 2: Cortex Strikes Back    ,PS,7.58m,3.78m,2.17m,1.31m,0.31m
Super Mario Galaxy 2    ,Wii,7.57m,3.59m,2.37m,0.98m,0.62m
